,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
828,"Gettys, Tom S.",Tom S.,Gettys,,,House,South Carolina,Democratic,1963,1975,fail-lastname
829,"Vandergriff, Tommy J.",Tommy J.,Vandergriff,,,House,Texas,Democratic,1983,1985,only-surname
830,"Macdonald, Torbert H.",Torbert H.,Macdonald,,,House,Massachusetts,Democratic,1955,1977,fail-firstname
831,"Gudger, V. Lamar",V. Lamar,Gudger,,,House,North Carolina,Democratic,1977,1981,fail-lastname
832,"Hartke, Vance",Vance,Hartke,,,Senate,Indiana,Democratic,1959,1977,fail-firstname
833,"Ehlers, Vernon J.",Vernon J.,Ehlers,,,House,Michigan,Republican,1993,2011,only-surname
834,"Thomson, Vernon W.",Vernon W.,Thomson,,,House,Wisconsin,Republican,1961,1975,fail-lastname
835,"Fazio, Vic",Vic,Fazio,,,House,California,Democratic,1979,1999,only-surname
836,"Veysey, Victor V.",Victor V.,Veysey,,,House,California,Republican,1971,1975,fail-lastname
837,"Weber, Vin",Vin,Weber,,,House,Minnesota,Republican,1981,1993,fail-firstname
838,"Snowbarger, Vince",Vince,Snowbarger,,,House,Kansas,Republican,1997,1999,only-surname
839,"Smith, Virginia",Virginia,Smith,,,House,Nebraska,Republican,1975,1991,fail-firstname
840,"Hefner, W. G. (Bill)",W. G. (Bill),Hefner,,,House,North Carolina,Democratic,1975,1999,only-surname
841,"Moore, W. Henson",W. Henson,Moore,,,House,Louisiana,Republican,1975,1987,fail-firstname
842,"Poage, W. R.",W. R.,Poage,,,House,Texas,Democratic,1937,1979,fail-lastname
843,"Stuckey, W. S. (Bill), Jr.","W. S. (Bill), Jr.",Stuckey,,,House,Georgia,Democratic,1967,1977,fail-lastname
844,"Bennett, Wallace F.",Wallace F.,Bennett,,,Senate,Utah,Republican,1951,1975,fail-firstname
845,"Flowers, Walter",Walter,Flowers,,,House,Alabama,Democratic,1969,1979,fail-firstname
846,"Minnick, Walter",Walter,Minnick,,,House,Idaho,Democratic,2009,2011,only-surname
847,"Huddleston, Walter (Dee)",Walter (Dee),Huddleston,,,Senate,Kentucky,Democratic,1973,1985,only-surname
848,"Fauntroy, Walter E.",Walter E.,Fauntroy,,,House,District of Columbia,Democratic,1971,1991,fail-lastname
849,"Powell, Walter E.",Walter E.,Powell,,,House,Ohio,Republican,1971,1975,fail-firstname
850,"Rudman, Warren",Warren,Rudman,,,Senate,New Hampshire,Republican,1981,1993,fail-lastname
851,"Magnuson, Warren G.",Warren G.,Magnuson,,,"House,Senate",Washington,Democratic,1937,1981,only-surname
852,"Dowdy, Wayne",Wayne,Dowdy,,,House,Mississippi,Democratic,1981,1989,fail-lastname
853,"Hays, Wayne L.",Wayne L.,Hays,,,House,Ohio,Democratic,1949,1977,fail-firstname
854,"Grisham, Wayne R.",Wayne R.,Grisham,,,House,California,Republican,1979,1983,fail-firstname
855,"Bailey, Wendell",Wendell,Bailey,,,House,Missouri,Republican,1981,1983,fail-firstname
856,"Wyatt, Wendell",Wendell,Wyatt,,,House,Oregon,Republican,1963,1975,fail-firstname
857,"Anderson, Wendell R.",Wendell R.,Anderson,,,Senate,Minnesota,Democratic,1977,1979,fail-firstname
858,"Mills, Wilbur D.",Wilbur D.,Mills,,,House,Arkansas,Democratic,1939,1977,fail-firstname
859,"Mayne, Wiley",Wiley,Mayne,,,House,Iowa,Republican,1967,1975,fail-lastname
860,"Brodhead, William",William,Brodhead,,,House,Michigan,Democratic,1975,1983,fail-lastname
861,"Carney, William",William,Carney,,,House,New York,Republican,1979,1987,fail-firstname
862,"Lehman, William",William,Lehman,,,House,Florida,Democratic,1973,1993,fail-firstname
863,"Proxmire, William",William,Proxmire,,,Senate,Wisconsin,Democratic,1957,1989,fail-lastname
864,"Royer, William",William,Royer,,,House,California,Republican,1979,1981,fail-lastname
865,"Steiger, William A.",William A.,Steiger,,,House,Wisconsin,Republican,1967,1979,fail-lastname
866,"Saxbe, William B.",William B.,Saxbe,,,Senate,Ohio,Republican,1969,1975,fail-lastname
867,"Widnall, William B.",William B.,Widnall,,,House,New Jersey,Republican,1949,1975,fail-lastname
868,"Wampler, William C.",William C.,Wampler,,,House,Virginia,Republican,1953,1983,fail-lastname
869,"Hathaway, William D.",William D.,Hathaway,,,"House,Senate",Maine,Democratic,1965,1979,only-surname
870,"Dannemeyer, William E.",William E.,Dannemeyer,,,House,California,Republican,1979,1993,fail-lastname
871,"Minshall, William E.",William E.,Minshall,,,House,Ohio,Republican,1955,1975,fail-lastname
872,"Walsh, William F.",William F.,Walsh,,,House,New York,Republican,1973,1979,fail-firstname
873,"Bray, William G.",William G.,Bray,,,House,Indiana,Republican,1951,1975,fail-firstname
874,"Boner, William H.",William H.,Boner,,,House,Tennessee,Democratic,1979,1989,fail-lastname
875,"Harsha, William H.",William H.,Harsha,,,House,Ohio,Republican,1961,1981,fail-lastname
876,"Gray, William H., III","William H., III",Gray,,,House,Pennsylvania,Democratic,1979,1993,fail-firstname
877,"Hudnut, William H., III","William H., III",Hudnut,,,House,Indiana,Republican,1973,1975,fail-lastname
878,"Hughes, William J.",William J.,Hughes,,,House,New Jersey,Democratic,1975,1995,ambiguous
879,"Randall, William J.",William J.,Randall,,,House,Missouri,Democratic,1959,1977,ambiguous
880,"Scherle, William J.",William J.,Scherle,,,House,Iowa,Republican,1967,1975,fail-lastname
881,"Dorn, William Jennings Bryan",William Jennings Bryan,Dorn,,,House,South Carolina,Democratic,1947,1975,only-surname
882,"Armstrong, William L.",William L.,Armstrong,,,"House,Senate",Colorado,Republican,1973,1991,fail-firstname
883,"Dickinson, William L.",William L.,Dickinson,,,House,Alabama,Republican,1965,1993,fail-firstname
884,"Hungate, William L.",William L.,Hungate,,,House,Missouri,Democratic,1963,1977,fail-lastname
885,"Owens, William L.",William L.,Owens,,,House,New York,Democratic,2009,2015,ambiguous
886,"Scott, William Lloyd",William Lloyd,Scott,,,"House,Senate",Virginia,Republican,1967,1979,fail-firstname
887,"Cowan, William M.",William M.,Cowan,,,Senate,Massachusetts,Democratic,2013,2013,fail-firstname
888,"Ketchum, William M.",William M.,Ketchum,,,House,California,Republican,1973,1979,fail-lastname
