,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
116,"Whalen, Charles W., Jr.","Charles W., Jr.",Whalen,,,House,Ohio,Republican,1967,1979,fail-firstname
117,"Pashayan, Charles, Jr.","Charles, Jr.",Pashayan,,,House,California,Republican,1979,1991,fail-lastname
118,"Atkins, Chester G.",Chester G.,Atkins,,,House,Massachusetts,Democratic,1985,1993,only-surname
119,"Holifield, Chet",Chet,Holifield,,,House,California,Democratic,1943,1975,fail-lastname
120,"Hecht, Chic",Chic,Hecht,,,Senate,Nevada,Republican,1983,1989,fail-firstname
121,"Collins, Chris",Chris,Collins,,,House,New York,Republican,2013,2019,ambiguous
122,"Cox, Christopher",Christopher,Cox,,,House,California,Republican,1989,2007,ambiguous
123,"Bond, Christopher S.",Christopher S.,Bond,,,Senate,Missouri,Republican,1987,2011,fail-firstname
124,"Douglas, Chuck",Chuck,Douglas,,,House,New Hampshire,Republican,1989,1991,fail-firstname
125,"Pell, Claiborne",Claiborne,Pell,,,Senate,Rhode Island,Democratic,1961,1997,only-surname
126,"Burgener, Clair W.",Clair W.,Burgener,,,House,California,Republican,1973,1983,fail-lastname
127,"Long, Clarence D.",Clarence D.,Long,,,House,Maryland,Democratic,1963,1985,fail-firstname
128,"Miller, Clarence E.",Clarence E.,Miller,,,House,Ohio,Republican,1967,1993,fail-firstname
129,"Brown, Clarence, Jr.","Clarence, Jr.",Brown,,,House,Ohio,Republican,1965,1983,fail-firstname
130,"Harris, Claude",Claude,Harris,,,House,Alabama,Democratic,1987,1993,fail-firstname
131,"Pepper, Claude",Claude,Pepper,,,"House,Senate",Florida,Democratic,1935,1991,only-surname
132,"Leach, Claude (Buddy), Jr.","Claude (Buddy), Jr.",Leach,,,House,Louisiana,Democratic,1979,1981,fail-firstname
133,"Schneider, Claudine",Claudine,Schneider,,,House,Rhode Island,Republican,1981,1991,fail-firstname
134,"McSpadden, Clem Rogers",Clem Rogers,McSpadden,,,House,Oklahoma,Democratic,1973,1975,only-surname
135,"Zablocki, Clement J.",Clement J.,Zablocki,,,House,Wisconsin,Democratic,1949,1985,fail-lastname
136,"Benedict, Cleve",Cleve,Benedict,,,House,West Virginia,Republican,1981,1983,fail-firstname
137,"Case, Clifford P.",Clifford P.,Case,,,"House,Senate",New Jersey,Republican,1945,1979,fail-firstname
138,"Hansen, Clifford P.",Clifford P.,Hansen,,,Senate,Wyoming,Republican,1967,1979,fail-firstname
139,"Allen, Clifford R.",Clifford R.,Allen,,,House,Tennessee,Democratic,1975,1979,fail-firstname
140,"Roberts, Clint",Clint,Roberts,,,House,South Dakota,Republican,1981,1983,fail-firstname
141,"Mack, Connie",Connie,Mack,,,House,Florida,Republican,2005,2013,ambiguous
142,"Mack, Connie, III","Connie, III",Mack,,,"House,Senate",Florida,Republican,1983,2001,ambiguous
143,"Evans, Cooper",Cooper,Evans,,,House,Iowa,Republican,1981,1987,fail-firstname
144,"Boggs, Corinne C. (Lindy)",Corinne C. (Lindy),Boggs,,,House,Louisiana,Democratic,1973,1991,fail-firstname
145,"Hosmer, Craig",Craig,Hosmer,,,House,California,Republican,1953,1975,fail-lastname
146,"James, Craig T.",Craig T.,James,,,House,Florida,Republican,1989,1993,fail-firstname
147,"Slaughter, D. French, Jr.","D. French, Jr.",Slaughter,,,House,Virginia,Republican,1985,1993,fail-firstname
148,"Milford, Dale",Dale,Milford,,,House,Texas,Democratic,1973,1979,fail-lastname
149,"Quayle, Dan",Dan,Quayle,,,"House,Senate",Indiana,Republican,1977,1991,only-surname
150,"Sullivan, Dan",Dan,Sullivan,,,Senate,Alaska,Republican,2015,9999,ambiguous
151,"Kuykendall, Dan H.",Dan H.,Kuykendall,,,House,Tennessee,Republican,1967,1975,only-surname
152,"Mica, Daniel Andrew",Daniel Andrew,Mica,,,House,Florida,Democratic,1979,1989,only-surname
153,"Crane, Daniel B.",Daniel B.,Crane,,,House,Illinois,Republican,1979,1985,fail-firstname
154,"Evans, Daniel J.",Daniel J.,Evans,,,Senate,Washington,Republican,1983,1989,fail-firstname
155,"Flood, Daniel J.",Daniel J.,Flood,,,House,Pennsylvania,Democratic,1945,1981,fail-firstname
156,"Davis, Danny K.",Danny K.,Davis,,,House,Illinois,Democratic,1997,9999,ambiguous
157,"Fascell, Dante B.",Dante B.,Fascell,,,House,Florida,Democratic,1955,1993,fail-lastname
158,"Durenberger, Dave",Dave,Durenberger,,,Senate,Minnesota,Republican,1977,1995,fail-lastname
159,"Davis, David",David,Davis,,,House,Tennessee,Republican,2007,2009,ambiguous
160,"Towell, David",David,Towell,,,House,Nevada,Republican,1973,1975,fail-lastname
161,"Young, David",David,Young,,,House,Iowa,Republican,2015,2019,ambiguous
162,"Stockman, David A.",David A.,Stockman,,,House,Michigan,Republican,1977,1983,fail-firstname
163,"Marriott, David Daniel",David Daniel,Marriott,,,House,Utah,Republican,1977,1985,fail-lastname
164,"Satterfield, David E., III","David E., III",Satterfield,,,House,Virginia,Democratic,1965,1981,fail-lastname
165,"Emery, David F.",David F.,Emery,,,House,Maine,Republican,1975,1983,fail-firstname
166,"Pryor, David H.",David H.,Pryor,,,"House,Senate",Arkansas,Democratic,1965,1997,fail-firstname
167,"Taylor, David J.",David J.,Taylor,,,House,Ohio,Republican,2025,9999,ambiguous
168,"Karnes, David K.",David K.,Karnes,,,Senate,Nebraska,Republican,1987,1989,fail-lastname
169,"Boren, David L.",David L.,Boren,,,Senate,Oklahoma,Democratic,1979,1995,fail-firstname
170,"Cornwell, David L.",David L.,Cornwell,,,House,Indiana,Democratic,1977,1979,fail-lastname
171,"Sweeney, David McCann",David McCann,Sweeney,,,House,Texas,Republican,1985,1989,fail-firstname
172,"Staton, David Michael",David Michael,Staton,,,House,West Virginia,Republican,1981,1983,only-surname
173,"Henderson, David N.",David N.,Henderson,,,House,North Carolina,Democratic,1961,1977,fail-firstname
174,"Martin, David O'B.",David O'B.,Martin,,,House,New York,Republican,1981,1993,fail-firstname
175,"Joyce, David P.",David P.,Joyce,,,House,Ohio,Republican,2013,9999,ambiguous
176,"Roe, David P.",David P.,Roe,,,House,Tennessee,Republican,2009,2021,fail-firstname
177,"Monson, David S.",David S.,Monson,,,House,Utah,Republican,1985,1987,fail-lastname
178,"Martin, David T.",David T.,Martin,,,House,Nebraska,Republican,1961,1975,fail-firstname
179,"Dennis, David W.",David W.,Dennis,,,House,Indiana,Republican,1969,1975,fail-firstname
180,"Evans, David W.",David W.,Evans,,,House,Indiana,Democratic,1975,1983,fail-firstname
181,"Mathis, Dawson",Dawson,Mathis,,,House,Georgia,Democratic,1971,1981,fail-firstname
182,"Haaland, Debra A.",Debra A.,Haaland,,,House,New Mexico,Democratic,2019,2021,only-surname
183,"Clawson, Del",Del,Clawson,,,House,California,Republican,1963,1979,fail-firstname
184,"Latta, Delbert L.",Delbert L.,Latta,,,House,Ohio,Republican,1959,1989,only-surname
185,"DeConcini, Dennis",Dennis,DeConcini,,,Senate,Arizona,Democratic,1977,1995,fail-lastname
186,"Eckart, Dennis E.",Dennis E.,Eckart,,,House,Ohio,Democratic,1981,1993,fail-lastname
187,"Hertel, Dennis M.",Dennis M.,Hertel,,,House,Michigan,Democratic,1981,1993,fail-firstname
188,"Smith, Denny",Denny,Smith,,,House,Oregon,Republican,1981,1991,fail-firstname
189,"Bartlett, Dewey F.",Dewey F.,Bartlett,,,Senate,Oklahoma,Republican,1973,1979,fail-firstname
190,"Cheney, Dick",Dick,Cheney,,,House,Wyoming,Republican,1979,1991,fail-firstname
191,"Clark, Dick",Dick,Clark,,,Senate,Iowa,Democratic,1973,1979,fail-firstname
192,"Nichols, Dick",Dick,Nichols,,,House,Kansas,Republican,1991,1993,fail-firstname
193,"Shoup, Dick",Dick,Shoup,,,House,Montana,Republican,1971,1975,fail-lastname
194,"Daniels, Dominick V.",Dominick V.,Daniels,,,House,New Jersey,Democratic,1959,1977,fail-firstname
195,"Bonker, Don",Don,Bonker,,,House,Washington,Democratic,1975,1989,fail-lastname
196,"Fuqua, Don",Don,Fuqua,,,House,Florida,Democratic,1963,1987,fail-lastname
197,"Johnson, Don",Don,Johnson,,,House,Georgia,Democratic,1993,1995,ambiguous
198,"Clausen, Don H.",Don H.,Clausen,,,House,California,Republican,1963,1983,fail-lastname
199,"Stewart, Donald",Donald,Stewart,,,Senate,Alabama,Democratic,1977,1981,fail-firstname
200,"Bailey, Donald A.",Donald A.,Bailey,,,House,Pennsylvania,Democratic,1979,1983,fail-firstname
201,"Clancy, Donald D.",Donald D.,Clancy,,,House,Ohio,Republican,1961,1977,only-surname
202,"Lukens, Donald E.",Donald E.,Lukens,,,House,Ohio,Republican,1967,1991,only-surname
203,"Brotzman, Donald G.",Donald G.,Brotzman,,,House,Colorado,Republican,1963,1975,fail-lastname
204,"Davis, Donald G.",Donald G.,Davis,,,House,North Carolina,Democratic,2023,9999,ambiguous
205,"Albosta, Donald J.",Donald J.,Albosta,,,House,Michigan,Democratic,1979,1985,fail-lastname
206,"Mitchell, Donald J.",Donald J.,Mitchell,,,House,New York,Republican,1973,1983,fail-firstname
207,"Pease, Donald J.",Donald J.,Pease,,,House,Ohio,Democratic,1977,1993,only-surname
208,"Fraser, Donald M.",Donald M.,Fraser,,,House,Minnesota,Democratic,1963,1979,fail-firstname
209,"Payne, Donald M.",Donald M.,Payne,,,House,New Jersey,Democratic,1989,2024,ambiguous
210,"Riegle, Donald W., Jr.","Donald W., Jr.",Riegle,,,"House,Senate",Michigan,Democratic,1967,1995,fail-lastname
211,"Jones, Doug",Doug,Jones,,,Senate,Alabama,Democratic,2018,2021,ambiguous
212,"Walgren, Doug",Doug,Walgren,,,House,Pennsylvania,Democratic,1977,1991,fail-lastname
213,"Barnard, Doug, Jr.","Doug, Jr.",Barnard,,,House,Georgia,Democratic,1977,1993,only-surname
214,"Applegate, Douglas",Douglas,Applegate,,,House,Ohio,Democratic,1977,1995,ambiguous
215,"Bosco, Douglas H.",Douglas H.,Bosco,,,House,California,Democratic,1983,1991,fail-lastname
216,"Hunter, Duncan",Duncan,Hunter,,,House,California,Republican,1981,2009,ambiguous
217,"Hunter, Duncan D.",Duncan D.,Hunter,,,House,California,Republican,2009,2020,ambiguous
218,"Garn, E. J. (Jake)",E. J. (Jake),Garn,,,Senate,Utah,Republican,1975,1993,fail-lastname
219,"Ruth, Earl B.",Earl B.,Ruth,,,House,North Carolina,Republican,1969,1975,fail-firstname
220,"Landgrebe, Earl F.",Earl F.,Landgrebe,,,House,Indiana,Republican,1969,1975,fail-lastname
221,"Bethune, Ed",Ed,Bethune,,,House,Arkansas,Republican,1979,1985,fail-lastname
222,"Jones, Ed",Ed,Jones,,,House,Tennessee,Democratic,1969,1989,fail-firstname
223,"Weber, Ed",Ed,Weber,,,House,Ohio,Republican,1981,1983,fail-firstname
224,"Jenkins, Edgar L.",Edgar L.,Jenkins,,,House,Georgia,Democratic,1977,1993,fail-firstname
225,"Green, Edith",Edith,Green,,,House,Oregon,Democratic,1955,1975,fail-firstname
226,"Muskie, Edmund S.",Edmund S.,Muskie,,,Senate,Maine,Democratic,1959,1981,fail-lastname
227,"Beard, Edward",Edward,Beard,,,House,Rhode Island,Democratic,1975,1981,fail-firstname
228,"Hutchinson, Edward",Edward,Hutchinson,,,House,Michigan,Republican,1963,1977,fail-firstname
229,"Mezvinsky, Edward",Edward,Mezvinsky,,,House,Iowa,Democratic,1973,1977,only-surname
230,"Young, Edward",Edward,Young,,,House,South Carolina,Republican,1973,1975,fail-firstname
231,"Zorinsky, Edward",Edward,Zorinsky,,,Senate,Nebraska,Democratic,1977,1989,fail-lastname
232,"Kaufman, Edward E.",Edward E.,Kaufman,,,Senate,Delaware,Democratic,2009,2010,only-surname
233,"Feighan, Edward F.",Edward F.,Feighan,,,House,Ohio,Democratic,1983,1993,fail-lastname
234,"Biester, Edward G., Jr.","Edward G., Jr.",Biester,,,House,Pennsylvania,Republican,1967,1977,fail-lastname
235,"Derwinski, Edward J.",Edward J.,Derwinski,,,House,Illinois,Republican,1959,1983,fail-lastname
236,"Gurney, Edward J.",Edward J.,Gurney,,,"House,Senate",Florida,Republican,1963,1975,fail-lastname
237,"Patten, Edward J.",Edward J.,Patten,,,House,New Jersey,Democratic,1963,1981,fail-lastname
238,"Stack, Edward J.",Edward J.,Stack,,,House,Florida,Democratic,1979,1981,fail-lastname
239,"Boland, Edward P.",Edward P.,Boland,,,House,Massachusetts,Democratic,1953,1989,only-surname
240,"Madigan, Edward R.",Edward R.,Madigan,,,House,Illinois,Republican,1973,1993,only-surname
241,"Roybal, Edward R.",Edward R.,Roybal,,,House,California,Democratic,1963,1993,only-surname
242,"Brooke, Edward W.",Edward W.,Brooke,,,Senate,Massachusetts,Republican,1967,1979,fail-lastname
243,"Pattison, Edward W.",Edward W.,Pattison,,,House,New York,Democratic,1975,1979,fail-lastname
244,"Forsythe, Edwin B.",Edwin B.,Forsythe,,,House,New Jersey,Republican,1969,1985,only-surname
245,"Eshleman, Edwin D.",Edwin D.,Eshleman,,,House,Pennsylvania,Republican,1967,1977,fail-lastname
246,"Zschau, Edwin V. W.",Edwin V. W.,Zschau,,,House,California,Republican,1983,1987,fail-lastname
247,"Rudd, Eldon D.",Eldon D.,Rudd,,,House,Arizona,Republican,1977,1987,fail-lastname
248,"Cederberg, Elford A.",Elford A.,Cederberg,,,House,Michigan,Republican,1953,1979,fail-lastname
249,"Holtzman, Elizabeth",Elizabeth,Holtzman,,,House,New York,Democratic,1973,1981,fail-lastname
250,"Grasso, Ella T.",Ella T.,Grasso,,,House,Connecticut,Democratic,1971,1975,only-surname
251,"Levitas, Elliott H.",Elliott H.,Levitas,,,House,Georgia,Democratic,1975,1985,fail-lastname
252,"Hillis, Elwood H.",Elwood H.,Hillis,,,House,Indiana,Republican,1971,1987,fail-lastname
253,"Waldholtz, Enid Greene",Enid Greene,Waldholtz,,,House,Utah,Republican,1995,1997,fail-lastname
254,"Crawford, Eric A. ""Rick""","Eric A. ""Rick""",Crawford,,,House,Arkansas,Republican,2011,9999,ambiguous
255,"Konnyu, Ernest L.",Ernest L.,Konnyu,,,House,California,Republican,1987,1989,fail-lastname
256,"Johnston, Eugene (Gene)",Eugene (Gene),Johnston,,,House,North Carolina,Republican,1981,1983,fail-firstname
257,"Chappie, Eugene A.",Eugene A.,Chappie,,,House,California,Republican,1981,1987,fail-lastname
258,"Atkinson, Eugene V.",Eugene V.,Atkinson,,,House,Pennsylvania,Democratic,1979,1983,fail-firstname
259,"Hebert, F. Edward",F. Edward,Hebert,,,House,Louisiana,Democratic,1941,1977,fail-firstname
260,"St Germain, Fernand J.",Fernand J.,St Germain,,,House,Rhode Island,Democratic,1961,1989,fail-firstname
261,"Fithian, Floyd J.",Floyd J.,Fithian,,,House,Indiana,Democratic,1975,1983,fail-lastname
262,"Haskell, Floyd K.",Floyd K.,Haskell,,,Senate,Colorado,Democratic,1973,1979,only-surname
263,"Hicks, Floyd V.",Floyd V.,Hicks,,,House,Washington,Democratic,1965,1977,fail-firstname
264,"Sunia, Foto I. F.",Foto I. F.,Sunia,,,House,American Samoa,Democratic,1981,1989,fail-lastname
265,"Annunzio, Frank",Frank,Annunzio,,,House,Illinois,Democratic,1965,1993,only-surname
266,"Brasco, Frank",Frank,Brasco,,,House,New York,Democratic,1967,1975,fail-lastname
267,"Church, Frank",Frank,Church,,,Senate,Idaho,Democratic,1957,1981,fail-lastname
268,"Harrison, Frank",Frank,Harrison,,,House,Pennsylvania,Democratic,1983,1985,fail-firstname
269,"Stubblefield, Frank A.",Frank A.,Stubblefield,,,House,Kentucky,Democratic,1959,1975,fail-lastname
270,"Lucas, Frank D.",Frank D.,Lucas,,,House,Oklahoma,Republican,1993,9999,ambiguous
271,"Denholm, Frank E.",Frank E.,Denholm,,,House,South Dakota,Democratic,1971,1975,fail-lastname
272,"Evans, Frank E.",Frank E.,Evans,,,House,Colorado,Democratic,1965,1979,fail-firstname
273,"Moss, Frank E.",Frank E.,Moss,,,Senate,Utah,Democratic,1959,1977,fail-firstname
274,"Guarini, Frank J.",Frank J.,Guarini,,,House,New Jersey,Democratic,1979,1993,only-surname
275,"Horton, Frank J.",Frank J.,Horton,,,House,New York,Republican,1963,1993,fail-firstname
276,"Clark, Frank M.",Frank M.,Clark,,,House,Pennsylvania,Democratic,1955,1975,fail-firstname
277,"Thompson, Fred",Fred,Thompson,,,Senate,Tennessee,Republican,1994,2003,ambiguous
278,"Rooney, Fred B.",Fred B.,Rooney,,,House,Pennsylvania,Democratic,1963,1979,fail-firstname
279,"Eckert, Fred J.",Fred J.,Eckert,,,House,New York,Republican,1985,1987,fail-lastname
280,"Richmond, Frederick W.",Frederick W.,Richmond,,,House,New York,Democratic,1975,1983,only-surname
281,"Taylor, G.",G.,Taylor,,,House,Missouri,Republican,1973,1989,fail-firstname
282,"Butterfield, G. K.",G. K.,Butterfield,,,House,North Carolina,Democratic,2004,2022,only-surname
283,"Montgomery, G. V. (Sonny)",G. V. (Sonny),Montgomery,,,House,Mississippi,Democratic,1967,1997,fail-firstname
284,"Whitehurst, G. William",G. William,Whitehurst,,,House,Virginia,Republican,1969,1987,fail-lastname
285,"McGee, Gale W.",Gale W.,McGee,,,Senate,Wyoming,Democratic,1959,1977,fail-firstname
286,"Shriver, Garner E.",Garner E.,Shriver,,,House,Kansas,Republican,1961,1977,fail-lastname
287,"Brown, Garry E.",Garry E.,Brown,,,House,Michigan,Republican,1967,1979,fail-firstname
288,"Myers, Gary A.",Gary A.,Myers,,,House,Pennsylvania,Republican,1975,1979,fail-firstname
289,"Hart, Gary W.",Gary W.,Hart,,,Senate,Colorado,Democratic,1975,1987,fail-firstname
290,"Nelson, Gaylord",Gaylord,Nelson,,,Senate,Wisconsin,Democratic,1963,1981,fail-firstname
291,"Aiken, George",George,Aiken,,,Senate,Vermont,Republican,1941,1975,only-surname
292,"McGovern, George",George,McGovern,,,"House,Senate",South Dakota,Democratic,1957,1981,fail-firstname
293,"Goodling, George A.",George A.,Goodling,,,House,Pennsylvania,Republican,1961,1975,only-surname
294,"Wortley, George C.",George C.,Wortley,,,House,New York,Republican,1981,1989,fail-lastname
295,"Danielson, George E.",George E.,Danielson,,,House,California,Democratic,1971,1983,fail-lastname
296,"Shipley, George E.",George E.,Shipley,,,House,Illinois,Democratic,1959,1979,only-surname
297,"Mahon, George H.",George H.,Mahon,,,House,Texas,Democratic,1935,1979,fail-lastname
298,"Mitchell, George J.",George J.,Mitchell,,,Senate,Maine,Democratic,1979,1995,fail-firstname
299,"Helmy, George S.",George S.,Helmy,,,Senate,New Jersey,Democratic,2024,2024,fail-lastname
300,"LeMieux, George S.",George S.,LeMieux,,,Senate,Florida,Republican,2009,2011,fail-lastname
301,"Hansen, George V.",George V.,Hansen,,,House,Idaho,Republican,1965,1985,fail-firstname
302,"Crockett, George W., Jr.","George W., Jr.",Crockett,,,House,Michigan,Democratic,1979,1991,fail-firstname
303,"Ford, Gerald R., Jr.","Gerald R., Jr.",Ford,,,House,Michigan,Republican,1949,1975,fail-firstname
304,"Ferraro, Geraldine A.",Geraldine A.,Ferraro,,,House,New York,Democratic,1979,1985,fail-lastname
305,"Gude, Gilbert",Gilbert,Gude,,,House,Maryland,Republican,1967,1977,fail-lastname
306,"Long, Gillis W.",Gillis W.,Long,,,House,Louisiana,Democratic,1963,1987,fail-firstname
307,"Spellman, Gladys Noon",Gladys Noon,Spellman,,,House,Maryland,Democratic,1975,1983,fail-lastname
308,"Thompson, Glenn",Glenn,Thompson,,,House,Pennsylvania,Republican,2009,9999,fail-firstname
309,"Anderson, Glenn M.",Glenn M.,Anderson,,,House,California,Democratic,1969,1993,fail-firstname
310,"Davis, Glenn R.",Glenn R.,Davis,,,House,Wisconsin,Republican,1947,1975,fail-firstname
311,"Byron, Goodloe E.",Goodloe E.,Byron,,,House,Maryland,Democratic,1971,1979,fail-firstname
312,"Humphrey, Gordon J.",Gordon J.,Humphrey,,,Senate,New Hampshire,Republican,1979,1991,only-surname
313,"Ganske, Greg",Greg,Ganske,,,House,Iowa,Republican,1995,2003,only-surname
314,"Lopez, Greg",Greg,Lopez,,,House,Colorado,Republican,2024,2025,fail-firstname
315,"Carman, Gregory W.",Gregory W.,Carman,,,House,New York,Republican,1981,1983,fail-lastname
316,"Savage, Gus",Gus,Savage,,,House,Illinois,Democratic,1981,1993,fail-firstname
317,"Yatron, Gus",Gus,Yatron,,,House,Pennsylvania,Democratic,1969,1993,fail-lastname
318,"Molinari, Guy",Guy,Molinari,,,House,New York,Republican,1981,1991,only-surname
319,"Vander Jagt, Guy",Guy,Vander Jagt,,,House,Michigan,Republican,1965,1993,fail-lastname
320,"Gross, H. R.",H. R.,Gross,,,House,Iowa,Republican,1949,1975,fail-firstname
321,"Daub, Hal",Hal,Daub,,,House,Nebraska,Republican,1981,1989,fail-lastname
322,"Mathews, Harlan",Harlan,Mathews,,,Senate,Tennessee,Democratic,1993,1995,only-surname
323,"Washington, Harold",Harold,Washington,,,House,Illinois,Democratic,1981,1985,fail-firstname
324,"Hollenbeck, Harold C.",Harold C.,Hollenbeck,,,House,New Jersey,Republican,1977,1983,only-surname
325,"Donohue, Harold D.",Harold D.,Donohue,,,House,Massachusetts,Democratic,1947,1975,fail-firstname
326,"Ford, Harold E.",Harold E.,Ford,,,House,Tennessee,Democratic,1975,1997,ambiguous
327,"Hughes, Harold E.",Harold E.,Hughes,,,Senate,Iowa,Democratic,1969,1975,fail-firstname
328,"Runnels, Harold L.",Harold L.,Runnels,,,House,New Mexico,Democratic,1971,1981,fail-lastname
329,"Collier, Harold R.",Harold R.,Collier,,,House,Illinois,Republican,1957,1975,fail-firstname
330,"Sawyer, Harold S.",Harold S.,Sawyer,,,House,Michigan,Republican,1977,1985,fail-firstname
331,"Froehlich, Harold V.",Harold V.,Froehlich,,,House,Wisconsin,Republican,1973,1975,fail-lastname
332,"Williams, Harrison A., Jr.","Harrison A., Jr.",Williams,,,"House,Senate",New Jersey,Democratic,1953,1982,fail-firstname
333,"Schmitt, Harrison H.",Harrison H.,Schmitt,,,Senate,New Mexico,Republican,1977,1983,fail-firstname
334,"Meyner, Helen S.",Helen S.,Meyner,,,House,New Jersey,Democratic,1975,1979,fail-lastname
335,"Helstoski, Henry",Henry,Helstoski,,,House,New Jersey,Democratic,1965,1977,fail-lastname
336,"Nowak, Henry",Henry,Nowak,,,House,New York,Democratic,1975,1993,only-surname
337,"Bellmon, Henry L.",Henry L.,Bellmon,,,Senate,Oklahoma,Republican,1969,1981,fail-lastname
338,"Jackson, Henry M.",Henry M.,Jackson,,,"House,Senate",Washington,Democratic,1941,1985,fail-firstname
339,"Smith, Henry P., III","Henry P., III",Smith,,,House,New York,Republican,1965,1975,fail-firstname
340,"Reuss, Henry S.",Henry S.,Reuss,,,House,Wisconsin,Democratic,1955,1983,fail-lastname
341,"Harris, Herbert E., II","Herbert E., II",Harris,,,House,Virginia,Democratic,1975,1981,fail-firstname
342,"Badillo, Herman",Herman,Badillo,,,House,New York,Democratic,1971,1979,fail-lastname
343,"Talmadge, Herman E.",Herman E.,Talmadge,,,Senate,Georgia,Democratic,1957,1981,fail-lastname
344,"Schneebeli, Herman T.",Herman T.,Schneebeli,,,House,Pennsylvania,Republican,1959,1977,fail-lastname
345,"Fong, Hiram L.",Hiram L.,Fong,,,Senate,Hawaii,Republican,1959,1977,fail-firstname
346,"Nielson, Howard C.",Howard C.,Nielson,,,House,Utah,Republican,1983,1991,fail-lastname
347,"Wolpe, Howard E.",Howard E.,Wolpe,,,House,Michigan,Democratic,1979,1993,fail-lastname
348,"Baker, Howard H., Jr.","Howard H., Jr.",Baker,,,Senate,Tennessee,Republican,1967,1985,fail-firstname
349,"Metzenbaum, Howard M.",Howard M.,Metzenbaum,,,Senate,Ohio,Democratic,1973,1995,fail-lastname
350,"Cannon, Howard W.",Howard W.,Cannon,,,Senate,Nevada,Democratic,1959,1983,fail-firstname
351,"Robison, Howard W.",Howard W.,Robison,,,House,New York,Republican,1957,1975,fail-lastname
352,"Heflin, Howell",Howell,Heflin,,,Senate,Alabama,Democratic,1979,1997,fail-lastname
353,"Humphrey, Hubert H.",Hubert H.,Humphrey,,,Senate,Minnesota,Democratic,1949,1979,only-surname
354,"Scott, Hugh",Hugh,Scott,,,"House,Senate",Pennsylvania,Republican,1941,1977,fail-firstname
355,"Carey, Hugh L.",Hugh L.,Carey,,,House,New York,Democratic,1961,1975,fail-firstname
356,"Andrews, Ike",Ike,Andrews,,,House,North Carolina,Democratic,1973,1985,fail-firstname
357,"Johnston, J. Bennett",J. Bennett,Johnston,,,Senate,Louisiana,Democratic,1971,1997,fail-firstname
358,"Hayworth, J. D.",J. D.,Hayworth,,,House,Arizona,Republican,1995,2007,fail-firstname
359,"Vance, J. D.",J. D.,Vance,,,Senate,Ohio,Republican,2023,2025,fail-firstname
360,"Roush, J. Edward",J. Edward,Roush,,,House,Indiana,Democratic,1959,1977,fail-lastname
361,"Beall, J. Glenn, Jr.","J. Glenn, Jr.",Beall,,,"House,Senate",Maryland,Republican,1969,1977,only-surname
362,"Burke, J. Herbert",J. Herbert,Burke,,,House,Florida,Republican,1967,1979,fail-firstname
363,"Pickle, J. J.",J. J.,Pickle,,,House,Texas,Democratic,1963,1995,only-surname
364,"Exon, J. James",J. James,Exon,,,Senate,Nebraska,Democratic,1979,1997,fail-lastname
365,"Robinson, J. Kenneth",J. Kenneth,Robinson,,,House,Virginia,Republican,1971,1985,fail-firstname
366,"Correa, J. Luis",J. Luis,Correa,,,House,California,Democratic,2017,9999,only-surname
367,"Stanton, J. William",J. William,Stanton,,,House,Ohio,Republican,1965,1983,fail-firstname
368,"Brinkley, Jack",Jack,Brinkley,,,House,Georgia,Democratic,1967,1983,fail-lastname
369,"Buechner, Jack",Jack,Buechner,,,House,Missouri,Republican,1987,1991,fail-lastname
370,"Davis, Jack",Jack,Davis,,,House,Illinois,Republican,1987,1989,ambiguous
371,"Edwards, Jack",Jack,Edwards,,,House,Alabama,Republican,1965,1985,ambiguous
372,"Kemp, Jack",Jack,Kemp,,,House,New York,Republican,1971,1989,fail-firstname
373,"Hightower, Jack E.",Jack E.,Hightower,,,House,Texas,Democratic,1975,1985,fail-lastname
374,"Javits, Jacob K.",Jacob K.,Javits,,,"House,Senate",New York,Republican,1947,1981,fail-lastname
375,"LaTurner, Jake",Jake,LaTurner,,,House,Kansas,Republican,2021,2025,only-surname
376,"Abdnor, James",James,Abdnor,,,"House,Senate",South Dakota,Republican,1973,1987,fail-lastname
377,"Abourezk, James",James,Abourezk,,,"House,Senate",South Dakota,Democratic,1971,1979,fail-lastname
378,"Blanchard, James",James,Blanchard,,,House,Michigan,Democratic,1975,1983,fail-firstname
379,"Fulbright, James",James,Fulbright,,,"House,Senate",Arkansas,Democratic,1943,1975,fail-lastname
380,"Burke, James A.",James A.,Burke,,,House,Massachusetts,Democratic,1959,1979,fail-firstname
381,"Haley, James A.",James A.,Haley,,,House,Florida,Democratic,1953,1977,only-surname
382,"Hayes, James A.",James A.,Hayes,,,House,Louisiana,Republican,1987,1997,ambiguous
383,"Mattox, James A.",James A.,Mattox,,,House,Texas,Democratic,1977,1983,fail-lastname
384,"McClure, James A.",James A.,McClure,,,"House,Senate",Idaho,Republican,1967,1991,only-surname
385,"Allen, James B.",James B.,Allen,,,Senate,Alabama,Democratic,1969,1979,fail-firstname
386,"Pearson, James B.",James B.,Pearson,,,Senate,Kansas,Republican,1961,1979,fail-firstname
387,"Cleveland, James C.",James C.,Cleveland,,,House,New Hampshire,Republican,1963,1981,fail-firstname
388,"Corman, James C.",James C.,Corman,,,House,California,Democratic,1961,1981,fail-lastname
389,"Wright, James C., Jr.","James C., Jr.",Wright,,,House,Texas,Democratic,1955,1991,ambiguous
